Comparison,Target,Name,MOA,Phase
Immune system related pathways,MMP2,UK-356618,metalloproteinase inhibitor,Preclinical
Immune system related pathways,MMP2,cipemastat,metalloproteinase inhibitor,Phase 3
Immune system related pathways,MMP2,beta-elemene,apoptosis stimulant,Launched
Immune system related pathways,MMP2,halofuginone,collagenase inhibitor,Launched
Immune system related pathways,MMP2,ilomastat,matrix metalloprotease inhibitor,Phase 3
Immune system related pathways,MMP2,tiludronate,"bone resorption inhibitor, osteoclast inhibitor",Launched
Immune system related pathways,MMP2,captopril,angiotensin converting enzyme inhibitor,Launched
Immune system related pathways,MMP2,PD-166793,"collagenase inhibitor, metalloproteinase inhibitor",Preclinical
Immune system related pathways,MMP2,CP-471474,matrix metalloprotease inhibitor,Preclinical
Immune system related pathways,MMP2,marimastat,matrix metalloprotease inhibitor,Phase 3
Immune system related pathways,MMP2,SD-2590,matrix metalloprotease inhibitor,Preclinical
Immune system related pathways,MMP2,batimastat,matrix metalloprotease inhibitor,Phase 3
Immune system related pathways,MMP3,CTS-1027,metalloproteinase inhibitor,Phase 2
Immune system related pathways,MMP3,cipemastat,metalloproteinase inhibitor,Phase 3
Immune system related pathways,MMP3,marimastat,matrix metalloprotease inhibitor,Phase 3
Immune system related pathways,MMP3,PD-166793,"collagenase inhibitor, metalloproteinase inhibitor",Preclinical
Immune system related pathways,MMP3,ilomastat,matrix metalloprotease inhibitor,Phase 3
Immune system related pathways,MMP3,UK-356618,metalloproteinase inhibitor,Preclinical
Immune system related pathways,MMP3,CP-471474,matrix metalloprotease inhibitor,Preclinical
Immune system related pathways,NCF4,dextromethorphan,"glutamate receptor antagonist, sigma receptor agonist",Launched
Immune system related pathways,NFKBIA,aspirin,cyclooxygenase inhibitor,Launched
Immune system related pathways,NFKBIA,BAY-11-7085,NFkB pathway inhibitor,Preclinical
Immune system related pathways,NFKBIA,GS-143,ubiquitin ligase inhibitor,Preclinical
Immune system related pathways,NOS3,3-bromo-7-nitroindazole,nitric oxide synthase inhibitor,Preclinical
Immune system related pathways,NOS3,asymmetrical-dimethylarginine,nitric oxide synthase inhibitor,Phase 1
Immune system related pathways,NOS3,sapropterin,phenylalanine 4-hydroxylase stimulant,Launched
Immune system related pathways,NOS3,diphenyleneiodonium,nitric oxide synthase inhibitor,Preclinical
Immune system related pathways,NOS3,fenoxaprop-p-ethyl,,Preclinical
Immune system related pathways,NOS3,L-NIL,nitric oxide synthase inhibitor,Preclinical
Immune system related pathways,NOS3,1400W,nitric oxide synthase inhibitor,Preclinical
Immune system related pathways,NOS3,C11-Acetate,,Phase 3
Immune system related pathways,NOS3,L-arginine,nitric oxide precursor,Launched
Immune system related pathways,NOS3,7-nitroindazole,nitric oxide synthase inhibitor,Preclinical
Immune system related pathways,NOS3,targinine,nitric oxide synthase inhibitor,Phase 3
Immune system related pathways,NOS3,S-isopropylisothiourea,nitric oxide synthase inhibitor,Preclinical
Immune system related pathways,NOS3,L-citrulline,nitric oxide stimulant,Launched
Immune system related pathways,NOS3,hexylene-glycol,,Preclinical
Immune system related pathways,NOS3,EIT-hydrobromide,nitric oxide synthase inhibitor,Preclinical
Immune system related pathways,NOS3,"cis-exo-camphanediol-2,3",nitric oxide stimulant,Phase 1
Immune system related pathways,NOS3,NG-nitro-arginine,nitric oxide synthase inhibitor,Phase 1
Immune system related pathways,NRAS,lonafarnib,farnesyltransferase inhibitor,Phase 3
Immune system related pathways,PIK3CD,wortmannin,PI3K inhibitor,Preclinical
Immune system related pathways,PIK3CD,PIK-293,PI3K inhibitor,Preclinical
Immune system related pathways,PIK3CD,caffeine,"adenosine receptor antagonist, phosphodiesterase inhibitor",Launched
Immune system related pathways,PIK3CD,copanlisib,PI3K inhibitor,Launched
Immune system related pathways,PIK3CD,SB-2343,"mTOR inhibitor, PI3K inhibitor",Phase 1
Immune system related pathways,PIK3CD,LY294002,"DNA dependent protein kinase inhibitor, mTOR inhibitor, phosphodiesterase inhibitor, PI3K inhibitor, PLK inhibitor",Preclinical
Immune system related pathways,PIK3CD,GDC-0941,PI3K inhibitor,Phase 2
Immune system related pathways,PIK3CD,PI-103,"mTOR inhibitor, PI3K inhibitor",Preclinical
Immune system related pathways,PIK3CD,acalisib,PI3K inhibitor,Phase 1
Immune system related pathways,PIK3CD,AZD6482,PI3K inhibitor,Phase 1
Immune system related pathways,PIK3CD,CH5132799,PI3K inhibitor,Phase 1
Immune system related pathways,PIK3CD,PIK-294,PI3K inhibitor,Preclinical
Immune system related pathways,PIK3CD,PIK-75,"DNA protein kinase inhibitor, PI3K inhibitor",Preclinical
Immune system related pathways,PIK3CD,duvelisib,PI3K inhibitor,Launched
Immune system related pathways,PIK3CD,alpelisib,PI3K inhibitor,Launched
Immune system related pathways,PIK3CD,idelalisib,PI3K inhibitor,Launched
Immune system related pathways,PIK3CD,AZD8186,PI3K inhibitor,Phase 1
Immune system related pathways,PIK3CD,MLN0128,mTOR inhibitor,Phase 2
Immune system related pathways,PIK3CD,ETP-45658,PI3K inhibitor,Preclinical
Immune system related pathways,PIK3CD,XL147,PI3K inhibitor,Phase 2
Immune system related pathways,PIK3CD,GSK2126458,"mTOR inhibitor, PI3K inhibitor",Phase 1
Immune system related pathways,PIK3CD,NVP-BEZ235,"mTOR inhibitor, PI3K inhibitor",Phase 3
Immune system related pathways,PIK3CD,AMG-319,PI3K inhibitor,Phase 2
Immune system related pathways,PIK3CD,AZD8835,PI3K inhibitor,Phase 1
Immune system related pathways,PIK3CD,AMG319,PI3K inhibitor,Phase 2
Immune system related pathways,PIK3CD,GDC-0980,"mTOR inhibitor, PI3K inhibitor",Phase 2
Immune system related pathways,PIK3CD,TGX-221,PI3K inhibitor,Preclinical
Immune system related pathways,PIK3CD,PP-121,protein tyrosine kinase inhibitor,Preclinical
Immune system related pathways,PLAU,amiloride,sodium channel blocker,Launched
Immune system related pathways,PLAU,mexiletine,sodium channel blocker,Launched
Immune system related pathways,PLAU,BC-11,urokinase inhibitor,Preclinical
Immune system related pathways,PLCB2,m-3M3FBS,phospholipase activator,Preclinical
Immune system related pathways,PLCG2,m-3M3FBS,phospholipase activator,Preclinical
Immune system related pathways,PRKCB,sotrastaurin,PKC inhibitor,Phase 2
Immune system related pathways,PRKCB,ellagic-acid,"glutathione transferase inhibitor, non-nucleoside reverse transcriptase inhibitor",Phase 2
Immune system related pathways,PRKCB,go-6983,protein kinase inhibitor,Preclinical
Immune system related pathways,PRKCB,enzastaurin,PKC inhibitor,Phase 3
Immune system related pathways,PRKCB,7-hydroxystaurosporine,"CDK inhibitor, CHK inhibitor, PKC inhibitor",Phase 2
Immune system related pathways,PRKCB,tamoxifen,"estrogen receptor antagonist, selective estrogen receptor modulator (SERM)",Launched
Immune system related pathways,PRKCB,ingenol-mebutate,PKC activator,Launched
Immune system related pathways,PRKCB,vitamin-E,"LDL oxidation inhibitor, PKC inhibitor",Launched
Immune system related pathways,PRKCB,CGP-53353,"EGFR inhibitor, PKC inhibitor",Preclinical
Immune system related pathways,PTK2B,PF-431396,focal adhesion kinase inhibitor,Preclinical
Immune system related pathways,PTK2B,PF-562271,focal adhesion kinase inhibitor,Phase 1
Immune system related pathways,PTK2B,leflunomide,"dihydroorotate dehydrogenase inhibitor, PDGFR tyrosine kinase receptor inhibitor",Launched
Immune system related pathways,RAC3,EHop-016,Ras GTPase inhibitor,Preclinical
Immune system related pathways,RAPGEF3,CE3F4,rap guanine nucleotide exchange factor inhibitor,Preclinical
Immune system related pathways,RAPGEF3,ESI-09,EPAC inhibitor,Preclinical
Immune system related pathways,RELA,BAY-11-7082,NFkB pathway inhibitor,Preclinical
Immune system related pathways,RELA,NFKB-activation-inhibitor-II,NFkB pathway inhibitor,Preclinical
Immune system related pathways,RELA,acetylcysteine,mucolytic agent,Launched
Immune system related pathways,RELA,bortezomib,"NFkB pathway inhibitor, proteasome inhibitor",Launched
Immune system related pathways,RELA,parthenolide-(alternate-stereo),NFkB pathway inhibitor,Preclinical
Immune system related pathways,RELA,triptolide,RNA polymerase inhibitor,Phase 3
Immune system related pathways,RELA,pyrrolidine-dithiocarbamate,NFkB pathway inhibitor,Preclinical
Immune system related pathways,RELA,caffeic-acid-phenethyl-ester,HIV integrase inhibitor,Preclinical
Immune system related pathways,ROCK1,SAR407899,rho associated kinase inhibitor,Phase 2
Immune system related pathways,ROCK1,AT13148,protein kinase inhibitor,Phase 1
Immune system related pathways,ROCK1,PD-98059,MEK inhibitor,Preclinical
Immune system related pathways,ROCK1,KN-62,"calcium/calmodulin dependent protein kinase inhibitor, purinergic receptor antagonist",Preclinical
Immune system related pathways,ROCK1,"4,5,6,7-tetrabromobenzotriazole",casein kinase inhibitor,Preclinical
Immune system related pathways,ROCK1,LY294002,"DNA dependent protein kinase inhibitor, mTOR inhibitor, phosphodiesterase inhibitor, PI3K inhibitor, PLK inhibitor",Preclinical
Immune system related pathways,ROCK1,RKI-1447,rho associated kinase inhibitor,Preclinical
Immune system related pathways,ROCK1,SB-772077B,rho associated kinase inhibitor,Preclinical
Immune system related pathways,ROCK1,GSK269962,rho associated kinase inhibitor,Preclinical
Immune system related pathways,ROCK1,SB-203580,p38 MAPK inhibitor,Preclinical
Immune system related pathways,ROCK1,GSK429286A,rho associated kinase inhibitor,Preclinical
Immune system related pathways,ROCK1,hydroxyfasudil,rho associated kinase inhibitor,Preclinical
Immune system related pathways,ROCK1,SB-747651A,kinase inhibitor,Preclinical
Immune system related pathways,ROCK1,OXA-06,rho associated kinase inhibitor,Preclinical
Immune system related pathways,ROCK1,AS-1892802,rho associated kinase inhibitor,Preclinical
Immune system related pathways,ROCK1,bisindolylmaleimide-IX,PKC inhibitor,Preclinical
Immune system related pathways,ROCK1,U-0126,MEK inhibitor,Preclinical
Immune system related pathways,ROCK1,SB-202190,p38 MAPK inhibitor,Preclinical
Immune system related pathways,ROCK1,ripasudil,rho associated kinase inhibitor,Launched
Immune system related pathways,ROCK1,fasudil,rho associated kinase inhibitor,Launched
Immune system related pathways,ROCK1,Y-27632,rho associated kinase inhibitor,Preclinical
Immune system related pathways,ROCK1,Y-39983,rho associated kinase inhibitor,Phase 2
Immune system related pathways,RORC,SR-1078,retinoid receptor agonist,Preclinical
Immune system related pathways,RORC,SR-2211,retinoid receptor inverse agonist,Preclinical
Immune system related pathways,RORC,tretinoin,"retinoid receptor agonist, retinoid receptor ligand",Launched
Immune system related pathways,RPS6KA1,purvalanol-A,CDK inhibitor,Preclinical
Immune system related pathways,RPS6KA1,BI-D1870,ribosomal protein inhibitor,Preclinical
Immune system related pathways,RPS6KA1,BRD7389,ribosomal protein inhibitor,Preclinical
Immune system related pathways,RPS6KA1,GSK1838705A,insulin growth factor receptor inhibitor,Preclinical
Immune system related pathways,RPS6KA1,dorsomorphin,AMPK inhibitor,Preclinical
Immune system related pathways,RPS6KA5,SB-747651A,kinase inhibitor,Preclinical
Immune system related pathways,RXRA,retinol,retinoid receptor ligand,Launched
Immune system related pathways,RXRA,AGN-194310,retinoid receptor antagonist,Phase 3
Immune system related pathways,RXRA,peretinoin,retinoid receptor agonist,Phase 3
Immune system related pathways,RXRA,acitretin,retinoid receptor agonist,Launched
Immune system related pathways,RXRA,PA-452,retinoid receptor antagonist,Preclinical
Immune system related pathways,RXRA,BMS-649,retinoid receptor agonist,Preclinical
Immune system related pathways,RXRA,bexarotene,retinoid receptor agonist,Launched
Immune system related pathways,RXRA,GW-9662,PPAR receptor antagonist,Preclinical
Immune system related pathways,RXRA,adapalene,retinoid receptor agonist,Launched
Immune system related pathways,SMAD2,dexfosfoserine,membrane integrity inhibitor,Preclinical
Immune system related pathways,SPHK1,SKI-II,sphingosine kinase inhibitor,Preclinical
Immune system related pathways,SPHK1,idronoxil,XIAP inhibitor,Phase 3
Immune system related pathways,SRC,XL228,"Abl kinase inhibitor, insulin growth factor receptor inhibitor, SRC inhibitor",Phase 1
Immune system related pathways,SRC,PP-2,SRC inhibitor,Preclinical
Immune system related pathways,SRC,citric-acid,coagulation factor inhibitor,Preclinical
Immune system related pathways,SRC,PD-166285,SRC inhibitor,Preclinical
Immune system related pathways,SRC,bosutinib,"Abl kinase inhibitor, Bcr-Abl kinase inhibitor, SRC inhibitor",Launched
Immune system related pathways,SRC,KB-SRC-4,SRC inhibitor,Preclinical
Immune system related pathways,SRC,vandetanib,"EGFR inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor",Launched
Immune system related pathways,SRC,tolimidone,SRC activator,Phase 2
Immune system related pathways,SRC,ponatinib,"Bcr-Abl kinase inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor",Launched
Immune system related pathways,SRC,dorsomorphin,AMPK inhibitor,Preclinical
Immune system related pathways,SRC,"3,4-methylenedioxy-beta-nitrostyrene","SRC inhibitor, SYK inhibitor",Preclinical
Immune system related pathways,SRC,1-naphthyl-PP1,SRC inhibitor,Preclinical
Immune system related pathways,SRC,ENMD-2076,"Aurora kinase inhibitor, FLT3 inhibitor, VEGFR inhibitor",Phase 2
Immune system related pathways,SRC,TG-100801,"SRC inhibitor, VEGFR inhibitor",Phase 2
Immune system related pathways,SRC,dasatinib,"Bcr-Abl kinase inhibitor, ephrin inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, SRC inhibitor, tyrosine kinase inhibitor",Launched
Immune system related pathways,SRC,TG-100572,"SRC inhibitor, VEGFR inhibitor",Preclinical
Immune system related pathways,SRC,PD-168393,EGFR inhibitor,Preclinical
Immune system related pathways,SRC,AZM-475271,SRC inhibitor,Preclinical
Immune system related pathways,SRC,purvalanol-A,CDK inhibitor,Preclinical
Immune system related pathways,SRC,PP-121,protein tyrosine kinase inhibitor,Preclinical
Immune system related pathways,SRC,KX2-391,"SRC inhibitor, tubulin polymerization inhibitor",Phase 3
Immune system related pathways,SRC,SB-203580,p38 MAPK inhibitor,Preclinical
Immune system related pathways,SRC,WH-4-023,SRC inhibitor,Preclinical
Immune system related pathways,STAT1,CKD-712,NFkB pathway inhibitor,Phase 1
Immune system related pathways,TGFB1,D-4476,TGF beta receptor inhibitor,Preclinical
Immune system related pathways,TGFB1,F351,TGF beta receptor inhibitor,Phase 2
Immune system related pathways,TGFBR1,EW-7197,TGF beta receptor inhibitor,Phase 2
Immune system related pathways,TGFBR1,repsox,TGF beta receptor inhibitor,Preclinical
Immune system related pathways,TGFBR1,QX-314,sodium channel blocker,Preclinical
Immune system related pathways,TGFBR1,SIS3,serine/threonine kinase inhibitor,Preclinical
Immune system related pathways,TGFBR1,LY364947,"p38 MAPK inhibitor, TGF beta receptor inhibitor",Preclinical
Immune system related pathways,TGFBR1,SB-505124,ALK tyrosine kinase receptor inhibitor,Preclinical
Immune system related pathways,TGFBR1,GW-788388,ALK tyrosine kinase receptor inhibitor,Preclinical
Immune system related pathways,TGFBR1,R-268712,serine/threonine kinase inhibitor,Preclinical
Immune system related pathways,TGFBR1,SD-208,TGF beta receptor inhibitor,Preclinical
Immune system related pathways,TGFBR1,LY2109761,TGF beta receptor inhibitor,Preclinical
Immune system related pathways,TGFBR1,SB-431542,TGF beta receptor inhibitor,Preclinical
Immune system related pathways,TGFBR1,SB-525334,TGF beta receptor inhibitor,Preclinical
Immune system related pathways,TGFBR2,ITD-1,TGF beta receptor inhibitor,Preclinical
Immune system related pathways,TGFBR2,LY2109761,TGF beta receptor inhibitor,Preclinical
Immune system related pathways,TLR2,CU-T12-9,toll-like receptor agonist,Preclinical
Immune system related pathways,TLR7,RWJ-21757,toll-like receptor agonist,Phase 2
Immune system related pathways,TLR7,docosanol,lipase clearing factor inhibitor,Launched
Immune system related pathways,TLR7,hydroxychloroquine,antimalarial agent,Launched
Immune system related pathways,TLR7,GS-9620,toll-like receptor agonist,Phase 2
Immune system related pathways,TLR7,"5-amino-3-D-ribofuranosylthiazolo[4,5-d]pyrimidin-2,7(3H,6H)-dione",,Preclinical
Immune system related pathways,TLR7,resiquimod,toll-like receptor agonist,Phase 3
Immune system related pathways,TLR7,DSR-6434,toll-like receptor agonist,Preclinical
Immune system related pathways,TLR7,imiquimod,"interferon inducer, toll-like receptor agonist",Launched
Immune system related pathways,TNFSF13B,citric-acid,coagulation factor inhibitor,Preclinical
Immune system related pathways,TYK2,ruxolitinib,JAK inhibitor,Launched
Immune system related pathways,TYK2,filgotinib,JAK inhibitor,Phase 3
Immune system related pathways,TYK2,fedratinib,"FLT3 inhibitor, JAK inhibitor",Launched
Immune system related pathways,VEGFA,trometamol,,Launched
Immune system related pathways,VEGFA,vandetanib,"EGFR inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor",Launched
Immune system related pathways,VEGFA,pidolic-acid,,Launched
Gene list,ABCG2,KS-176,BCRP inhibitor,Preclinical
Gene list,ABCG2,cyclovalone,breast cancer resistance protein inhibitor,Launched
Gene list,ACLY,bempedoic-acid,AMPK inhibitor,Launched
Gene list,ACTB,cytochalasin-B,microtubule inhibitor,Phase 2
Gene list,ACVR1,DMH1,ALK tyrosine kinase receptor inhibitor,Preclinical
Gene list,ADCY5,NKY-80,adenylyl cyclase inhibitor,Preclinical
Gene list,ADORA2A,ANR-94,adenosine receptor antagonist,Preclinical
Gene list,ADORA2A,tozadenant,adenosine receptor antagonist,Phase 3
Gene list,ADORA2A,Lu-AA-47070,adenosine receptor antagonist,Phase 2
Gene list,ADORA2A,T-62,adenosine receptor modulator,Phase 2
Gene list,ADORA2A,TC-G-1004,adenosine receptor antagonist,Preclinical
Gene list,ADORA2A,efaroxan,adrenergic receptor antagonist,Phase 2
Gene list,ADORA2A,CV-1808,adenosine receptor agonist,Preclinical
Gene list,ADRA1A,synephrine,adrenergic receptor agonist,Launched
Gene list,ADRA1A,naftopidil,adrenergic receptor antagonist,Launched
Gene list,ADRA1A,3-MPPI,adrenergic receptor ligand,Preclinical
Gene list,ADRA1A,bunazosin,adrenergic receptor antagonist,Launched
Gene list,ADRA1A,metaraminol,adrenergic receptor agonist,Launched
Gene list,ADRA1A,Rec-15/2615,adrenergic receptor antagonist,Phase 2
Gene list,ADRA1A,buflomedil,"adrenergic receptor antagonist, calcium channel blocker",Launched
Gene list,ADRA1A,adrenalone,adrenergic receptor agonist,Launched
Gene list,ADRA1A,cirazoline,adrenergic receptor agonist,Preclinical
Gene list,ADRA1A,anisodamine,lipid peroxidase inhibitor,Phase 3
Gene list,ADRA1A,nicergoline,adrenergic receptor antagonist,Launched
Gene list,ADRA1A,stobadine,adrenergic receptor antagonist,Phase 2
Gene list,ADRA1A,niguldipine-(S)-(+),adrenergic receptor antagonist,Preclinical
Gene list,ADRA1A,BE-2254,adrenergic receptor antagonist,Phase 2
Gene list,ADRA1A,A61603,adrenergic receptor agonist,Preclinical
Gene list,ADRA1A,metazosin,adrenergic receptor antagonist,Phase 2
Gene list,ADRA1A,2-PMDQ,adrenergic receptor antagonist,Preclinical
Gene list,ADRA1B,AH11110,adrenergic receptor ligand,Preclinical
Gene list,ALPL,levamisole,acetylcholine receptor agonist,Withdrawn
Gene list,APEX1,methoxyamine,DNA repair enzyme inhibitor,Phase 2
Gene list,AR,pyrvinium-pamoate,androgen receptor antagonist,Launched
Gene list,AR,RU-58841,androgen receptor antagonist,Phase 2
Gene list,AR,GLPG0492-R-enantiomer,androgen receptor modulator,Phase 1
Gene list,AR,CB-03-01,androgen receptor antagonist,Phase 3
Gene list,AR,ostarine,androgen receptor modulator,Phase 3
Gene list,AR,GLPG0492,androgen receptor modulator,Phase 1
Gene list,AR,APC-100,"androgen receptor antagonist, anti-inflammatory agent",Phase 1/Phase 2
Gene list,AR,LY2452473,androgen receptor modulator,Phase 2
Gene list,AR,ASC-J9,androgen receptor enhancer,Phase 2
Gene list,AR,AZD3514,androgen receptor modulator,Phase 1
Gene list,AR,dromostanolone-propionate,androgen receptor modulator,Launched
Gene list,AR,cortodoxone,androgen receptor antagonist,Phase 3
Gene list,AR,bicalutamide,androgen receptor antagonist,Launched
Gene list,AR,enzalutamide,androgen receptor antagonist,Launched
Gene list,AR,2-hydroxyflutamide,androgen receptor antagonist,Phase 2
Gene list,AR,andarine,androgen receptor modulator,Phase 1
Gene list,AR,nilutamide,androgen receptor antagonist,Launched
Gene list,AR,eugenol,androgen receptor antagonist,Launched
Gene list,AR,MK-0773,androgen receptor modulator,Phase 2
Gene list,AR,epitiostanol,androgen receptor agonist,Launched
Gene list,AR,darolutamide,androgen receptor antagonist,Launched
Gene list,AR,PS178990,androgen receptor modulator,Phase 1
Gene list,ATP2A2,gallopamil,L-type calcium channel blocker,Launched
Gene list,ATP5A1,oligomycin-A,"ATP synthase inhibitor, ATPase inhibitor",Preclinical
Gene list,ATP5F1,BTB06584,ATPase inhibitor,Preclinical
Gene list,ATR,schisandrin-B,antioxidant,Preclinical
Gene list,ATR,AZD6738,ATR kinase inhibitor,Phase 2
Gene list,ATR,VE-821,ATR kinase inhibitor,Preclinical
Gene list,AURKB,TAK-901,Aurora kinase inhibitor,Phase 1
Gene list,AURKB,barasertib-HQPA,Aurora kinase inhibitor,Phase 2/Phase 3
Gene list,AURKB,hesperadin,Aurora kinase inhibitor,Preclinical
Gene list,BACE1,TC1,beta-secretase inhibitor,Preclinical
Gene list,BACE1,AZD3839,beta-secretase inhibitor,Phase 1
Gene list,BACE1,compound-w,beta-secretase inhibitor,Preclinical
Gene list,BACE1,LY2886721,beta-secretase inhibitor,Phase 1/Phase 2
Gene list,BACE1,LY2811376,beta-secretase inhibitor,Phase 1
Gene list,BACE1,CTS21166,beta-secretase inhibitor,Phase 1
Gene list,BDKRB2,icatibant-acetate,bradykinin receptor antagonist,Launched
Gene list,BDKRB2,WIN-64338,bradykinin receptor antagonist,Preclinical
Gene list,BIRC5,YM-155,survivin inhibitor,Phase 2
Gene list,CA14,trientine,chelating agent,Launched
Gene list,CACNA1C,azelnidipine,calcium channel blocker,Launched
Gene list,CACNA1C,BAY-K-8644-(s)-(-),L-type calcium channel activator,Preclinical
Gene list,CACNA1C,pranidipine,calcium channel blocker,Phase 2
Gene list,CACNA1C,pinaverium,T-type calcium channel blocker,Launched
Gene list,CACNA1C,lacidipine,calcium channel blocker,Launched
Gene list,CACNA1C,otilonium,acetylcholine receptor antagonist,Launched
Gene list,CALCA,MK-3207,calcitonin antagonist,Phase 2
Gene list,CALCA,SB-268262,calcitonin antagonist,Preclinical
Gene list,CALCA,rimegepant,calcitonin antagonist,Launched
Gene list,CALM1,zaldaride,calmodulin antagonist,Phase 3
Gene list,CDC42,ZCL-278,CDC inhibitor,Preclinical
Gene list,CDC42,casin,GTPase inhibitor,Preclinical
Gene list,CDC42,ML141,GTPase inhibitor,Preclinical
Gene list,CDH2,exherin,cadherin antagonist,Phase 2
Gene list,CDIPT,inositol,insulin sensitizer,Launched
Gene list,CHRM3,diphemanil,acetylcholine receptor antagonist,Launched
Gene list,CHRM3,zamifenacin,acetylcholine receptor antagonist,Phase 3
Gene list,CHRM3,tarafenacin,acetylcholine receptor antagonist,Phase 2
Gene list,CHRM3,DAU-5884,acetylcholine receptor antagonist,Preclinical
Gene list,CHRM3,cevimeline,acetylcholine receptor agonist,Launched
Gene list,CHRM3,5-hydroxymethyl-tolterodine,acetylcholine receptor antagonist,Phase 1
Gene list,CSNK1A1,DRF053-(R),CDK inhibitor,Preclinical
Gene list,CSNK2A1,emodin,11-beta hydroxysteroid dehydrogenase inhibitor,Preclinical
Gene list,CSNK2A1,TTP-22,casein kinase inhibitor,Preclinical
Gene list,CTSB,loxistatin-acid,cysteine peptidase inhibitor,Preclinical
Gene list,CTSC,bipenamol,dipeptidyl peptidase inhibitor,Phase 2
Gene list,CTSK,balicatib,cathepsin inhibitor,Phase 2
Gene list,CTSK,odanacatib,cathepsin inhibitor,Phase 3
Gene list,CXCR3,NBI-74330-(+/-),CC chemokine receptor antagonist,Preclinical
Gene list,CXCR3,dioscin,apoptosis stimulant,Preclinical
Gene list,CXCR3,AMG-487-(+/-),CC chemokine receptor antagonist,Phase 2
Gene list,CYP1A2,tenofovir-disoproxil,nucleoside reverse transcriptase inhibitor,Launched
Gene list,DMD,ataluren,"CFTR channel agonist, dystrophin stimulant",Launched
Gene list,DNMT1,flucytosine,other antifungal,Launched
Gene list,DNMT1,triclabendazole,microtubule inhibitor,Launched
Gene list,DNMT1,dimercaptosuccinic-acid,chelating agent,Launched
Gene list,DNMT1,triclosan,antibacterial agent,Launched
Gene list,DPYD,gimeracil,dihydropyrimidine dehydrogenase inhibitor,Launched
Gene list,DRD2,3'-fluorobenzylspiperone,dopamine receptor ligand,Preclinical
Gene list,DRD2,bromperidol,dopamine receptor antagonist,Launched
Gene list,DRD2,amisulpride,dopamine receptor antagonist,Launched
Gene list,DRD2,trimethobenzamide,histamine receptor antagonist,Launched
Gene list,DRD2,carmoxirole,dopamine receptor agonist,Phase 2
Gene list,DRD2,preclamol,dopamine receptor agonist,Phase 2
Gene list,DRD2,PAOPA,dopamine receptor modulator,Preclinical
Gene list,DRD2,brexpiprazole,dopamine receptor partial agonist,Launched
Gene list,DRD2,afalanine,dopamine receptor agonist,Phase 3
Gene list,DRD2,quinagolide,dopamine receptor agonist,Launched
Gene list,DRD2,JNJ-37822681,dopamine receptor antagonist,Phase 2
Gene list,DRD2,sumanirole,dopamine receptor agonist,Phase 3
Gene list,DRD2,bromopride,dopamine receptor antagonist,Launched
Gene list,DRD2,benperidol,dopamine receptor antagonist,Launched
Gene list,DRD2,PD-168077,dopamine receptor agonist,Preclinical
Gene list,EGLN1,daprodustat,hypoxia inducible factor inhibitor,Phase 3
Gene list,EIF2A,sal003,eukaryotic translation initiation factor inhibitor,Preclinical
Gene list,EIF2AK4,AMG-PERK-44,PERK inhibitor,Preclinical
Gene list,EIF2S1,salubrinal,eukaryotic translation initiation factor inhibitor,Preclinical
Gene list,EIF4E,4EGI-1,protein synthesis inhibitor,Preclinical
Gene list,F10,apixaban,coagulation factor inhibitor,Launched
Gene list,F10,edoxaban,coagulation factor inhibitor,Launched
Gene list,F10,otamixaban,coagulation factor inhibitor,Phase 3
Gene list,F10,rivaroxaban,coagulation factor inhibitor,Launched
Gene list,FDFT1,SQ-109,bacterial cell wall synthesis inhibitor,Phase 3
Gene list,FGFR4,BLU9931,FGFR inhibitor,Preclinical
Gene list,FOXM1,thiostrepton,"FOXM1 inhibitor, protein synthesis inhibitor",Launched
Gene list,G6PD,epiandrosterone,steroid,Preclinical
Gene list,G6PD,RRx-001,glucose 6-phosphate dehydrogenase inhibitor,Phase 3
Gene list,GBF1,golgicide-A,ARF inhibitor,Preclinical
Gene list,GHSR,YIL-781,ghrelin receptor antagonist,Preclinical
Gene list,GHSR,PF-05190457,growth hormone secretagogue receptor inverse agonist,Phase 2
Gene list,GHSR,U-75799E,growth hormone releasing factor agonist,Phase 1
Gene list,GHSR,tabimorelin,growth hormone secretagogue receptor agonist,Phase 2
Gene list,GHSR,anamorelin,growth hormone secretagogue receptor agonist,Phase 3
Gene list,GLO1,delphinidin,membrane permeability inhibitor,Phase 2
Gene list,GUCY1A3,molsidomine,guanylate cyclase stimulant,Launched
Gene list,HIF1A,melphalan-n-oxide,hypoxia inducible factor inhibitor,Phase 1
Gene list,HIF1A,acriflavinium,hypoxia inducible factor inhibitor,Launched
Gene list,HIF1A,bakuchiol,DNA polymerase inhibitor,Phase 2
Gene list,HIF1A,acriflavine,hypoxia inducible factor inhibitor,Launched
Gene list,HIF1A,BAY-87-2243,hypoxia inducible factor inhibitor,Phase 1
Gene list,HIF1A,ML228,hypoxia inducible factor activator,Preclinical
Gene list,HTR1B,CP-94253,serotonin receptor agonist,Preclinical
Gene list,HTR1B,anpirtoline,serotonin receptor agonist,Phase 1
Gene list,HTR1B,NAS-181,serotonin receptor antagonist,Preclinical
Gene list,HTR2C,desmethylclozapine,acetylcholine receptor agonist,Phase 2
