SYMBOL	adj.P.Val	P.Value	logFC
4732429D16Rik	0.0434	0.00136251	-1.371797
Tmem143	0.1745	0.04558596	-1.369707
0610039N19Rik	0.1054	0.01620928	-1.36957
BC004728	0.0207	0.00012267	-1.36885
C2	0.0593	0.00360009	-1.365746
AB041550	0.0498	0.00207539	-1.363815
Srpx2	0.0665	0.00529219	-1.363717
Cdc20	0.0309	0.00048939	-1.361804
Dhrs4	0.0803	0.00850936	-1.360067
Itga11	0.0803	0.00855388	-1.358844
Coro1a	0.0895	0.01101906	-1.357186
Ung	0.0845	0.00965082	-1.35571
Calr3	0.1253	0.02382331	-1.35363
Spg21	0.0542	0.00268521	-1.352828
2310005P05Rik	0.1308	0.02618615	-1.351197
Tbrg4	0.0827	0.00927627	-1.350064
Slamf8	0.1485	0.03341467	-1.347709
Tst	0.0339	0.00062005	-1.347318
A030010B05Rik	0.0994	0.01424987	-1.346869
H2-gs17	0.0642	0.00458559	-1.345899
Map3k14	0.1156	0.01994085	-1.344664
Sema4b	0.0433	0.00134796	-1.344572
Snn	0.0394	0.00107171	-1.34338
H2-Ab1	0.0689	0.0058719	-1.342755
Adora1	0.1589	0.03787645	-1.342705
Shc1	0.0849	0.00976358	-1.333383
Glrx	0.0295	0.00043499	-1.330338
Sfrs5	0.0394	0.00107402	-1.325159
Podn	0.0385	0.00099041	-1.323949
Ap1g2	0.1153	0.01984128	-1.323803
Npy	0.1806	0.04866879	-1.323588
Col1a1	0.0499	0.00209248	-1.318409
0610031J06Rik	0.1622	0.03966691	-1.31828
Lst1	0.0236	0.00019027	-1.317056
Myo1g	0.0587	0.00347961	-1.316707
Sgpl1	0.0348	0.00067796	-1.316494
Hhex	0.1074	0.01690641	-1.315646
Dusp4	0.1233	0.02287502	-1.315408
D11Ertd736e	0.1131	0.01915338	-1.315404
Chdh	0.1463	0.0321919	-1.311567
Ifit3	0.0231	0.00016836	-1.309813
Sephs2	0.0621	0.00417385	-1.309151
Abcb1b	0.1082	0.01716115	-1.308547
0610009I22Rik	0.0879	0.010603	-1.307593
Pkp3	0.1076	0.01697502	-1.306012
BC006662	0.0563	0.00298969	-1.304681
BC022593	0.0823	0.00920068	-1.303688
Rod1	0.0804	0.00859832	-1.301659
AL024210	0.104	0.01580461	-1.300636
Galm	0.0277	0.00037195	-1.300325
Pparg	0.1108	0.01806377	-1.299295
Dhcr24	0.1395	0.0296358	-1.299087
Dab2	0.0805	0.00863169	-1.297829
Ifi30	0.052	0.00235587	-1.297304
Slc25a10	0.057	0.00316306	-1.294536
Slc25a20	0.0525	0.00244167	-1.292189
9130211I03Rik	0.111	0.01815936	-1.288461
BC022687	0.1764	0.04663225	-1.288235
Rab7	0.1604	0.03880606	-1.287445
Aqp7	0.1061	0.01648093	-1.285364
2310008H09Rik	0.1741	0.04521479	-1.283916
Egfl7	0.0689	0.00589374	-1.281379
Coro1a	0.1277	0.02471524	-1.27981
Vav1	0.0686	0.00579185	-1.279332
H2-Aa	0.0253	0.00028025	-1.278527
Palmd	0.0536	0.00252763	-1.27529
Il4i1	0.1338	0.02739465	-1.274569
Plcg2	0.0446	0.00147684	-1.273739
Matk	0.0882	0.01067584	-1.273438
Brd4	0.1793	0.04801814	-1.271776
Nsdhl	0.111	0.01826195	-1.268446
Erlin2	0.1189	0.02118	-1.268252
Slit2	0.1589	0.03790051	-1.267691
Lox	0.0642	0.00456476	-1.266585
Efna1	0.0477	0.00180767	-1.265965
Angptl4	0.1291	0.02523108	-1.265791
Lpl	0.0954	0.01284967	-1.265555
Ak2	0.0646	0.00473657	-1.265484
Cd3z	0.1811	0.04905162	-1.26478
Enc1	0.0954	0.01285217	-1.264097
BC022224	0.0357	0.00077547	-1.257037
Casp6	0.0954	0.0128211	-1.256618
Adh1	0.0759	0.00744957	-1.256337
Aqp7	0.1427	0.03085105	-1.255342
Cxcl12	0.0538	0.00256807	-1.254764
Gngt2	0.0551	0.0028009	-1.25364
Spag5	0.0948	0.01265582	-1.251152
BC049354	0.106	0.0164059	-1.250351
Sdsl	0.1125	0.01879091	-1.249985
Eps8	0.1464	0.03231962	-1.247912
Slc5a6	0.056	0.00291045	-1.244475
Gif	0.1027	0.01519696	-1.243974
Slc22a18	0.0257	0.00030023	-1.243713
Nln	0.0295	0.00043619	-1.237918
Sh3bgrl3	0.0389	0.00102029	-1.237857
Dctd	0.0593	0.00359252	-1.237122
Gpt1	0.1055	0.01628982	-1.235632
Slc6a6	0.0363	0.00080138	-1.234359
Ppfibp2	0.18	0.04829141	-1.234198
Cpne8	0.1359	0.02813195	-1.233573
Mbp	0.0704	0.00619852	-1.231574
Acad10	0.0729	0.00672335	-1.230722
Aadacl1	0.0207	0.0001005	-1.228923
Ankrd47	0.0791	0.00825088	-1.225318
Apbb1ip	0.1496	0.03392041	-1.224776
Kctd12b	0.104	0.01579889	-1.224022
Vti1a	0.039	0.00103093	-1.22357
Mgst3	0.0353	0.00072794	-1.222281
Ppap2c	0.1502	0.03420664	-1.21955
Ak2	0.076	0.00748301	-1.218499
Pygl	0.1565	0.03683861	-1.212949
Smad5	0.0644	0.0046314	-1.212629
Myoc	0.1185	0.0210138	-1.212362
Casp1	0.0636	0.00446555	-1.211814
Gsto1	0.0673	0.00553054	-1.211042
Hlx1	0.0858	0.0100184	-1.210173
Tmprss11b	0.1077	0.0170111	-1.20892
Idh3g	0.1071	0.01682524	-1.207528
4631427C17Rik	0.0791	0.00827628	-1.205661
Lgals3bp	0.0235	0.0001765	-1.205113
Mapt	0.0649	0.00478733	-1.203924
Cxadr	0.1697	0.0431113	-1.20365
Atp6v1g2	0.1628	0.0399162	-1.203169
Samsn1	0.1822	0.04954681	-1.203072
Akt2	0.0822	0.00918399	-1.202282
Pnpla2	0.1028	0.01524704	-1.20226
Snx8	0.0339	0.00062444	-1.199515
Sox7	0.1523	0.03492962	-1.199016
Tmsb10	0.0277	0.00036127	-1.195739
Rgs12	0.046	0.00159982	-1.195206
Lpin1	0.0686	0.00580069	-1.193392
Gyg1	0.1216	0.02220089	-1.192776
Nfs1	0.0612	0.0039022	-1.191716
Rab1	0.1273	0.0245281	-1.190971
Tcirg1	0.0406	0.00115912	-1.190608
E030006K04Rik	0.0877	0.01050813	-1.190204
Tubb2b	0.1822	0.04965213	-1.189759
Sepp1	0.0288	0.00041322	-1.189652
1110033J19Rik	0.1728	0.04457051	-1.189464
Dgat2	0.0583	0.003374	-1.189236
Pdk1	0.0452	0.00152347	-1.188563
Pdcd1lg1	0.0665	0.00522472	-1.185925
Dbf4	0.1085	0.01724626	-1.183511
Lbh	0.1541	0.03580158	-1.182922
Cenpa	0.0477	0.00180571	-1.182672
Dnajc2	0.1299	0.02572899	-1.182246
Rarsl	0.0876	0.01044822	-1.18029
Lrrc5	0.0655	0.00492517	-1.1801
Bmp1	0.0593	0.0036013	-1.178641
Emp1	0.033	0.00055537	-1.178346
Pxn	0.0378	0.00090242	-1.178339
Rnf144	0.1537	0.03564868	-1.178294
Manba	0.0642	0.00455371	-1.17711
1700012B18Rik	0.075	0.00728625	-1.176633
Plk1	0.1263	0.02412896	-1.171685
Slc25a1	0.057	0.00318636	-1.171272
Ndufs2	0.1445	0.03145037	-1.16574
Vat1	0.027	0.00034589	-1.16524
Cdca3	0.0538	0.00254659	-1.165212
Prc1	0.0495	0.00205205	-1.16476
1200013B08Rik	0.1732	0.0448283	-1.161107
Eln	0.1085	0.01723856	-1.159707
Adrb2	0.0974	0.01340838	-1.158776
Akr1b8	0.0277	0.00037023	-1.158291
D14Ertd226e	0.0589	0.00349525	-1.1579
Snf1lk	0.1579	0.03737356	-1.155657
P2rx4	0.0612	0.00389975	-1.155584
Prdx3	0.0762	0.0075307	-1.154906
LOC213423	0.0876	0.01042721	-1.153925
Pddc1	0.0704	0.00617831	-1.151439
Siat10	0.0515	0.00226352	-1.151315
EG630499	0.0843	0.0095871	-1.151202
Acad8	0.0766	0.00765878	-1.147771
0610039N19Rik	0.1469	0.03259016	-1.146435
E430002D04Rik	0.0924	0.01193034	-1.145522
Mfap2	0.0665	0.00522081	-1.145483
Arrb1	0.0737	0.00691467	-1.145058
C1qtnf3	0.0612	0.00394209	-1.144643
Lamc2	0.0662	0.0051578	-1.143101
Mapk3	0.0574	0.00323302	-1.141003
Dtx4	0.0383	0.00094385	-1.138991
Il13ra1	0.0948	0.01266661	-1.138624
Cfl1	0.0915	0.01159736	-1.138365
Sgpl1	0.0353	0.00072376	-1.138264
Ezh2	0.1589	0.03791601	-1.136898
P2ry6	0.0522	0.00239824	-1.136728
Prnp	0.0236	0.00019057	-1.134889
Ass1	0.0459	0.00157203	-1.134386
Coasy	0.0542	0.00262699	-1.133578
Mgst3	0.0489	0.00198793	-1.132182
Matk	0.1341	0.02752847	-1.131743
Mpp1	0.1125	0.01877601	-1.128104
Zfp521	0.1742	0.04527441	-1.126529
LOC632778	0.1479	0.03305228	-1.125726
Mgll	0.0948	0.01264982	-1.125333
Ppp4r2	0.119	0.02122336	-1.125126
Etfdh	0.0497	0.0020671	-1.124754
Itga11	0.0734	0.00682814	-1.123611
Add1	0.1806	0.04861152	-1.123327
Aldh3b1	0.0704	0.00615892	-1.123187
Xrcc2	0.1161	0.02015151	-1.123041
Rad54l	0.0563	0.00297713	-1.12271
Nrg4	0.1055	0.01628666	-1.122463
Tcirg1	0.0589	0.00350165	-1.122428
Clec1a	0.021	0.00014076	-1.122097
Amid	0.0803	0.00855476	-1.121318
P2ry5	0.0746	0.00722036	-1.120039
Pou2af1	0.0849	0.00979092	-1.117547
Hadhsc	0.1416	0.0304657	-1.117282
Brd4	0.1809	0.04885912	-1.115641
Mttp	0.1593	0.03820813	-1.115505
Cat	0.0287	0.00039747	-1.114642
Acat2	0.0963	0.01313132	-1.114122
Srpx	0.1045	0.01590135	-1.112918
Cyp2d22	0.1056	0.01631332	-1.1109
Slc35f3	0.0696	0.00597332	-1.109692
Psmb9	0.0612	0.0039336	-1.108376
Sema6b	0.1301	0.02585198	-1.106647
1810031K02Rik	0.0852	0.00989513	-1.105354
Ppgb	0.055	0.0027808	-1.10532
Ndg2	0.1017	0.01488166	-1.102527
Rassf2	0.055	0.00278622	-1.102057
Ctsz	0.0384	0.00097443	-1.101177
Fnta	0.1822	0.049586	-1.099808
Card18	0.0665	0.00523518	-1.098608
Slc2a4	0.0707	0.00625903	-1.094918
Kng2	0.141	0.03026166	-1.09282
Adamts13	0.088	0.01062933	-1.092729
Trabd	0.1297	0.02561591	-1.092281
Entpd5	0.0644	0.00465428	-1.089606
AI450948	0.0489	0.0019932	-1.085684
CRG-L1	0.1433	0.03108306	-1.085504
Gabpa	0.1233	0.02286661	-1.083768
4930500E24Rik	0.107	0.01678636	-1.083739
Dock1	0.0363	0.00079652	-1.082508
P2ry14	0.1396	0.02979801	-1.080298
2610204M08Rik	0.0455	0.00153783	-1.079704
Hexa	0.037	0.00083728	-1.079243
Ces3	0.119	0.0212403	-1.077571
Npc2	0.0439	0.00141806	-1.07728
Ian6	0.0764	0.00759188	-1.077186
1300001I01Rik	0.0976	0.01350249	-1.07626
Sema3a	0.1028	0.01540339	-1.076258
4631426J05Rik	0.111	0.01818765	-1.074429
Igfbp4	0.0955	0.01294147	-1.073925
Ifit3	0.1412	0.03033496	-1.073627
Mtch2	0.1072	0.01684882	-1.072587
2610510J17Rik	0.1294	0.02546	-1.072089
Mdk	0.1118	0.01856538	-1.071081
9930117H01Rik	0.0251	0.00023904	-1.070812
Dctn3	0.111	0.01818345	-1.0706
Hist1h4m	0.1525	0.03518871	-1.069726
Pik3cd	0.1235	0.02303321	-1.068135
Apob48r	0.0628	0.00437921	-1.068082
Vegfb	0.0277	0.00037118	-1.068036
Ankrd1	0.1782	0.04746449	-1.067949
Aldh1a1	0.1804	0.04848426	-1.06656
Fgf17	0.0772	0.0078129	-1.06654
Capg	0.0431	0.00132736	-1.066429
Rorc	0.1435	0.03114496	-1.064937
Myh9	0.0595	0.00362145	-1.062573
Tpm4	0.0337	0.00060502	-1.061845
Psmd9	0.0915	0.01163643	-1.061142
Ugcg	0.0309	0.00048353	-1.060964
Man2b2	0.057	0.00313288	-1.060907
Sec23b	0.1253	0.02379141	-1.059193
Entpd5	0.1534	0.03555658	-1.058955
Dip3b	0.0774	0.00784886	-1.057681
1810009K13Rik	0.1427	0.03084982	-1.057032
Cxcl12	0.0884	0.0107371	-1.054397
Pgam1	0.0812	0.00890765	-1.053383
H6pd	0.0398	0.00111336	-1.052964
Trib3	0.0587	0.00347288	-1.05281
BC004728	0.049	0.00201013	-1.052057
Alas1	0.1657	0.04122147	-1.051867
Grina	0.0481	0.00186399	-1.051702
5730469M10Rik	0.099	0.0141546	-1.051578
Sip1	0.0447	0.00150191	-1.051266
Tlr2	0.0602	0.00372997	-1.04765
Mmp2	0.0509	0.00219238	-1.045966
Car4	0.1587	0.03774804	-1.044898
Tcfap4	0.1754	0.04616858	-1.043758
Mapk11	0.0446	0.00148818	-1.04197
Pcdh17	0.1335	0.02723623	-1.041354
Atp6v1b2	0.0486	0.00193415	-1.040878
Cadps2	0.0616	0.00400645	-1.039985
A930041I02Rik	0.15	0.03409405	-1.038831
Fbxo21	0.0251	0.00025557	-1.03719
Pfn1	0.1317	0.02656308	-1.035672
Adra1a	0.1224	0.02250627	-1.035024
Mmp11	0.1145	0.01960562	-1.034372
Prss8	0.1641	0.04047276	-1.032817
1200002N14Rik	0.0948	0.01259165	-1.03264
Commd10	0.0538	0.00257077	-1.03091
Slc7a4	0.0711	0.00635519	-1.030214
Il7	0.046	0.00162064	-1.02986
Mdk	0.1025	0.01512421	-1.028452
Ppfibp2	0.1361	0.02822	-1.027929
Capn6	0.0958	0.01300034	-1.02787
Rapgef3	0.151	0.03455932	-1.024155
Entpd4	0.0725	0.00658839	-1.023858
Fgf7	0.1138	0.01943115	-1.023656
Vegfa	0.169	0.04278098	-1.022195
H2-DMb1	0.0744	0.00712061	-1.017364
Plvap	0.0976	0.01349355	-1.016633
Arrb2	0.0697	0.00599995	-1.016395
Lss	0.1745	0.0453945	-1.015224
2900001O04Rik	0.0912	0.01145343	-1.014888
Tmem98	0.049	0.00200306	-1.014456
Sesn2	0.0583	0.00338461	-1.014198
Slc2a3	0.0937	0.0122081	-1.013241
Adam19	0.0289	0.00042006	-1.012161
Gnb5	0.1089	0.01741728	-1.012143
Enpp5	0.059	0.00352312	-1.010772
Prkcb	0.0353	0.00070961	-1.009831
Man2b1	0.0277	0.00037052	-1.006262
Lamp2	0.0577	0.00327559	-1.005639
Crem	0.1593	0.03821482	-1.005403
Pex11a	0.1573	0.03717007	-1.003826
Slco2b1	0.0552	0.00281018	-1.003791
Lamp2	0.0295	0.00043472	-1.003136
Optn	0.0387	0.00100413	-1.002198
1700037H04Rik	0.1475	0.03280697	-1.001146
4930455C21Rik	0.1142	0.01951829	-1.000405
Tbx1	0.0923	0.01187767	-1.000273
Acad10	0.129	0.02519564	-0.999005
Stat1	0.0621	0.00412066	-0.998844
D11Ertd18e	0.1556	0.03645651	-0.998439
Dgke	0.1573	0.03717847	-0.996862
Cd109	0.129	0.02519187	-0.996133
Hsd11b1	0.0646	0.00474815	-0.995524
Hnrpa2b1	0.1055	0.01627861	-0.99315
C130074G19Rik	0.0659	0.00500383	-0.990193
Cs	0.0685	0.00574728	-0.987659
H2-T23	0.0498	0.00207875	-0.983384
Gstt2	0.0541	0.00259265	-0.980396
Dpp7	0.0509	0.00219528	-0.980094
Hmga1	0.0538	0.00257092	-0.977621
A930008A22Rik	0.0941	0.01236947	-0.976836
Plscr1	0.0834	0.00942346	-0.97556
Fvt1	0.0597	0.00364446	-0.975454
B230342M21Rik	0.1197	0.02149394	-0.972009
Atp2c1	0.1336	0.02729693	-0.971397
Gadd45a	0.15	0.03413585	-0.969707
Pqlc2	0.0876	0.01044085	-0.969571
AA407270	0.0425	0.00128238	-0.968882
Gnas	0.1197	0.02147895	-0.967507
Mbp	0.0805	0.00868663	-0.966588
Efnb1	0.0691	0.00591917	-0.965547
Hsd11b1	0.0891	0.01092932	-0.964389
Mocos	0.0477	0.00178319	-0.962769
Plk3	0.1082	0.01717741	-0.962749
Cerk	0.0665	0.00521123	-0.962328
Plcl2	0.1216	0.02218027	-0.961263
3110045G13Rik	0.1546	0.03609392	-0.960559
Paqr9	0.0852	0.00989407	-0.959755
Acot7	0.1589	0.03799354	-0.959538
Cdc7	0.1188	0.02114023	-0.956562
Insig1	0.1181	0.0209032	-0.953813
Scd1	0.1744	0.04535062	-0.953777
Pfc	0.1482	0.03330743	-0.952048
Acy3	0.0366	0.00082272	-0.95174
Fkbp11	0.0956	0.01296598	-0.951441
Akap1	0.0621	0.00423736	-0.951389
Napsa	0.1271	0.02436751	-0.950284
Sec23ip	0.1111	0.01832484	-0.949868
Golph2	0.0662	0.00512587	-0.949763
Ifi30	0.0406	0.00116861	-0.947683
Hlcs	0.1559	0.0366319	-0.947512
Ly6e	0.0738	0.00692506	-0.94722
Sox8	0.0665	0.00520481	-0.946623
Gabarapl1	0.0812	0.00890687	-0.945669
Pigl	0.0877	0.01052123	-0.945283
Figf	0.1687	0.0426421	-0.944685
Scamp5	0.0719	0.00650211	-0.94442
Sla	0.0605	0.00376125	-0.941907
Ciapin1	0.0373	0.00087691	-0.941702
Tgfb1	0.0655	0.00495039	-0.940445
Jam2	0.1391	0.0294232	-0.939779
Sh3bp2	0.0425	0.00129636	-0.93951
Hoxa7	0.1249	0.02361786	-0.939478
Hsd11b1	0.1097	0.0177081	-0.938204
AA536749	0.047	0.00171469	-0.937556
Casp6	0.107	0.01671661	-0.937171
Srpx2	0.0885	0.01076741	-0.936963
Gale	0.1446	0.03150478	-0.936378
Slc25a1	0.1028	0.01530828	-0.935105
Mtch1	0.1308	0.02620633	-0.933781
Ctsz	0.0461	0.00163452	-0.933548
Palmd	0.1351	0.0279045	-0.932458
Stat1	0.1054	0.01623421	-0.931557
Stx6	0.1111	0.01830314	-0.93115
Marcks	0.0632	0.00442864	-0.930656
Nkd2	0.0583	0.00336668	-0.930026
Kif22	0.1548	0.03619611	-0.928909
Gnat2	0.1695	0.04296562	-0.928711
Gsdmd	0.044	0.00142542	-0.926803
2600014M03Rik	0.1284	0.02495993	-0.925607
Pcca	0.0617	0.00404281	-0.923577
Glt8d3	0.1755	0.0462213	-0.920477
Uhrf1	0.1335	0.02722893	-0.920193
Snrp70	0.0447	0.00150399	-0.919783
Afg3l2	0.0655	0.0049373	-0.91734
Cerk	0.0648	0.00477574	-0.916308
4931406P16Rik	0.0538	0.00256071	-0.915561
H2-Q7	0.0583	0.00340525	-0.914315
Wwox	0.085	0.00982462	-0.912487
Ltc4s	0.1747	0.04573024	-0.91158
Cyba	0.0524	0.00242596	-0.911552
Itpr3	0.0734	0.00681664	-0.911384
Thbs2	0.0638	0.00450138	-0.91117
AI413582	0.0913	0.01151025	-0.908321
Gosr2	0.1045	0.01591552	-0.908085
Tmem98	0.0515	0.00227936	-0.907993
Prkdc	0.1603	0.03871358	-0.906807
Hyou1	0.1697	0.04307981	-0.903646
Dtx4	0.0985	0.01380414	-0.903525
Syt12	0.0848	0.0097143	-0.903495
Prdx5	0.0651	0.00481818	-0.902535
Pex11a	0.1299	0.02573702	-0.901889
Mapk6	0.0445	0.00145142	-0.901266
Cstb	0.0463	0.00167692	-0.901096
Ifi47	0.0743	0.007072	-0.898632
Pgpep1	0.0398	0.00111368	-0.897855
Ldb2	0.0985	0.01397886	-0.896887
Pmp22	0.084	0.00954524	-0.896845
Sytl2	0.1718	0.04410377	-0.894912
Sort1	0.1396	0.02979748	-0.89491
Edem2	0.0921	0.01183076	-0.894751
Sumo1	0.0672	0.0055078	-0.894076
Osmr	0.0602	0.00371906	-0.893106
2310005O14Rik	0.0948	0.01257993	-0.892712
Igtp	0.1811	0.04904931	-0.891596
Septin 8	0.077	0.00776917	-0.890905
Lyzl4	0.0553	0.00283788	-0.890377
Pafah1b3	0.1033	0.01561685	-0.889527
Xlkd1	0.1277	0.02470665	-0.889143
S100a1	0.0927	0.01201455	-0.888324
Bhlhb2	0.0621	0.0041936	-0.886366
Gpt2	0.0677	0.005609	-0.884572
Arhgap18	0.0985	0.01394307	-0.88422
2310001A20Rik	0.0646	0.00471287	-0.884158
F2r	0.1411	0.03029103	-0.883695
Vdr	0.1525	0.03516535	-0.881173
Cbara1	0.0394	0.00107667	-0.881104
Fxyd5	0.106	0.01642048	-0.878477
2610203E10Rik	0.1088	0.0173537	-0.878324
Cyb5r3	0.0779	0.00794334	-0.878135
Unc5b	0.1263	0.02412128	-0.87741
Btg1	0.1469	0.0326068	-0.877111
D430044G18Rik	0.058	0.00331962	-0.87692
Scp2	0.0847	0.00968787	-0.876589
4632417K18Rik	0.1277	0.0247534	-0.876565
C80638	0.1264	0.02419443	-0.876261
Nudt7	0.1593	0.03824625	-0.875791
Htr7	0.046	0.0016067	-0.873802
Cklfsf4	0.1196	0.02137845	-0.873716
Mocs1	0.0754	0.0073651	-0.873248
Usp22	0.0543	0.00272672	-0.871157
Gpr114	0.0522	0.00240515	-0.870797
Hbs1l	0.0628	0.00438384	-0.870491
Tuft1	0.0895	0.01101339	-0.868998
Prkr	0.0709	0.00631524	-0.868656
Polh	0.1541	0.03581612	-0.867088
6720430O15	0.077	0.00776724	-0.866953
Anxa4	0.0673	0.00553249	-0.866932
Tnfsf13b	0.0857	0.00999665	-0.865183
3110057O12Rik	0.1524	0.03499253	-0.861803
Gdi1	0.145	0.03169156	-0.861161
Cdc34	0.1671	0.04172892	-0.860133
Mgat4b	0.0534	0.0025032	-0.859469
Scp2	0.0644	0.00465749	-0.858659
Sh3glb1	0.111	0.01814486	-0.858602
6330579B17Rik	0.1341	0.02750394	-0.858064
1110037N09Rik	0.111	0.01824025	-0.857468
Bat1a	0.1784	0.04756067	-0.855563
E2f1	0.1093	0.01749255	-0.851079
Ndrg1	0.0659	0.00501228	-0.85017
2610019F03Rik	0.1508	0.03451036	-0.84975
Mad2l1	0.0748	0.00726065	-0.849168
Fadd	0.1528	0.03530855	-0.849152
Pik3cd	0.1143	0.01953274	-0.848684
Snx6	0.1035	0.01567084	-0.848531
Ube2q	0.0811	0.00885671	-0.848513
Crat	0.1003	0.01453783	-0.848083
Cxx1a	0.1225	0.02255643	-0.84633
Dicer1	0.0795	0.00833495	-0.845244
Nos3	0.1653	0.04092571	-0.845221
Pep4	0.0697	0.00604056	-0.845139
AI467606	0.0803	0.00856623	-0.845075
Mapk12	0.1136	0.0193796	-0.844407
Zfp185	0.1385	0.02913055	-0.842988
Aif1	0.104	0.01577482	-0.84207
1700093E07Rik	0.0486	0.00192341	-0.841954
Bcap31	0.1698	0.04323513	-0.841803
Ndufs2	0.111	0.01818397	-0.841631
Casp8	0.0561	0.00291984	-0.840758
Phlda3	0.0644	0.00464451	-0.838876
Dck	0.0697	0.00604724	-0.837508
Tiam1	0.1186	0.02103499	-0.837167
Psap	0.0461	0.00164524	-0.834642
Limk1	0.1729	0.04465309	-0.833722
Arpc5	0.0522	0.00237896	-0.832575
H2-T23	0.0489	0.00198071	-0.830907
Shkbp1	0.1804	0.04842995	-0.830396
Dkk3	0.1737	0.04509072	-0.829125
Lasp1	0.0517	0.0023182	-0.82797
Kremen	0.0415	0.00121331	-0.827793
Ankrd47	0.0985	0.01386012	-0.827666
Tmem14c	0.1767	0.04678783	-0.827344
Capzb	0.1238	0.02319978	-0.826997
Nln	0.122	0.02240683	-0.826491
Srpx	0.0891	0.0108971	-0.824313
Scotin	0.057	0.00320013	-0.823212
Rreb1	0.0807	0.0087168	-0.823093
Fxyd5	0.0879	0.01057975	-0.822889
EG433923	0.1764	0.04665478	-0.821681
Tpcn1	0.0495	0.00205184	-0.818974
Srrm2	0.0593	0.00358905	-0.817091
Fcgrt	0.0911	0.01143085	-0.816056
Dapk1	0.1177	0.02073158	-0.813607
Slc31a1	0.052	0.00234852	-0.813326
Cklfsf3	0.0621	0.00420164	-0.812713
Adipor2	0.1502	0.03419103	-0.812594
Coq5	0.1719	0.04413574	-0.812282
Araf	0.0931	0.01209291	-0.811401
Cd40	0.1799	0.04823549	-0.811349
Pgm2	0.1393	0.02957869	-0.810783
Mmp14	0.1069	0.01669926	-0.810753
Hspa9	0.0889	0.01084735	-0.809435
Lsm14b	0.1677	0.0420167	-0.808784
Tmsb10	0.0668	0.00535728	-0.808301
Slc39a11	0.0674	0.00554613	-0.808082
Sav1	0.0563	0.00301409	-0.807881
Sphk1	0.1198	0.0215137	-0.806118
BC032265	0.1654	0.04111068	-0.8058
C1rl	0.1684	0.04231939	-0.805795
Slc10a3	0.0821	0.00913881	-0.805083
Ldb2	0.1785	0.04765671	-0.804916
Vdac3	0.1413	0.03037294	-0.803898
Nup50	0.153	0.03539502	-0.803392
Oplah	0.1719	0.04417452	-0.802203
Letmd1	0.1132	0.01917568	-0.801812
Gfm	0.1688	0.04268825	-0.801761
3110045G13Rik	0.0815	0.00896453	-0.801524
P2ry14	0.1589	0.03789294	-0.80108
9030607L17Rik	0.1111	0.01831549	-0.799609
Aldoa	0.0563	0.0029869	-0.79904
Acaa2	0.1582	0.03749043	-0.797337
H13	0.0787	0.00812022	-0.797322
Grn	0.0542	0.00270201	-0.796681
Ncoa6	0.1811	0.04895944	-0.796246
Prdx5	0.0622	0.00425281	-0.792546
4933407P14Rik	0.1748	0.04588773	-0.79168
Igf2r	0.0685	0.00575654	-0.791422
2010005A06Rik	0.1652	0.04085711	-0.790236
Dusp6	0.0612	0.00389278	-0.789783
Pvrl2	0.0689	0.00589802	-0.7883
C3	0.1235	0.02300416	-0.787998
Xylt2	0.0658	0.00499204	-0.787891
Sfpi1	0.1216	0.02219021	-0.787618
Rttn	0.1116	0.01849089	-0.785935
3010026O09Rik	0.0621	0.00423459	-0.785817
Prrg2	0.1118	0.01857096	-0.785732
Cox6b	0.1805	0.04851602	-0.785018
G0s2	0.1691	0.04280722	-0.784462
4432409M07Rik	0.1185	0.02101367	-0.783932
1700052N19Rik	0.0697	0.0059945	-0.783145
Sdhb	0.1107	0.01798461	-0.782704
Slc24a6	0.0619	0.00408516	-0.782474
Abi3	0.0685	0.00573968	-0.78235
8430417G17Rik	0.1031	0.01549988	-0.781834
Ttc7	0.1448	0.03157711	-0.780476
1700001A24Rik	0.0727	0.00666268	-0.780241
Ehd2	0.0981	0.01364683	-0.780221
Pdha1	0.0845	0.00960962	-0.779151
Ppfibp1	0.1125	0.01885417	-0.778436
Rgs10	0.0914	0.01152476	-0.777597
Mir16	0.0819	0.00908958	-0.775873
H13	0.1116	0.0184943	-0.775487
Galnt10	0.1211	0.0220297	-0.774595
Il10rb	0.0552	0.00283037	-0.774589
Ifngr1	0.057	0.00317543	-0.773349
Lgals9	0.1609	0.03913908	-0.7719
Acot7	0.0971	0.0133224	-0.770903
Myh7	0.1303	0.02598962	-0.769253
Pdxk	0.0612	0.00387934	-0.769015
Isca1	0.0833	0.00939855	-0.768411
H2-T17	0.086	0.01007401	-0.768236
Nde1	0.0678	0.00564975	-0.768153
Ifnar2	0.0825	0.00925206	-0.76692
Sdhb	0.1785	0.04769065	-0.76661
Deadc1	0.1638	0.04025175	-0.765705
Ppic	0.123	0.02271377	-0.765074
Gmfg	0.0737	0.00690683	-0.764591
Slc25a3	0.0771	0.0077825	-0.762531
Cyc1	0.1683	0.04229481	-0.761766
Abcf1	0.15	0.03413307	-0.760847
Casp4	0.1464	0.03233035	-0.758107
Mospd3	0.0982	0.01369266	-0.757978
Ppp2r5a	0.1033	0.01556106	-0.756746
Golph2	0.1373	0.02870487	-0.755995
BC025833	0.0985	0.01391821	-0.7543
1200003O06Rik	0.0435	0.001368	-0.752744
Mboat5	0.0877	0.01049243	-0.752408
Phlda3	0.0685	0.00576941	-0.752312
